track_name,artists,energy,valence
Kaş II,Yüzyüzeyken Konuşuruz,0.58,0.598
Kumralım,Yaşar,0.942,0.66
Her şey Sensin,Yalın,0.667,0.396
Yan Benimle,Sıla,0.587,0.493
Halbuki,Yalın,0.774,0.42
Let It Happen,Tame Impala,0.881,0.577
Sırada Sen Varsın,Bengü,0.819,0.824
Leyla,"Murat Dalkılıç, Boygar",0.67,0.871
Sevdik Sevdalandık,Reyhan Karaca,0.772,0.942
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,"Crystal Waters, The Basement Boys",0.641,0.181
Total Eclipse of the Heart,Bonnie Tyler,0.723,0.19
Slow Motion,Play & Win,0.933,0.63
Masterplan,Prospa,0.997,0.822
Ben Şarkımı Söylerken,Şebnem Ferah,0.85,0.379
Smells Like Teen Spirit,Nirvana,0.912,0.72
1-800,"bbno$, Ironmouse",0.965,0.854
Heartless,Kanye West,0.647,0.654
Kim Ne Derse Desin,"Ayshe, Cem Belevi",0.928,0.739
POWER,Kanye West,0.914,0.576
İnceden İnceden,Tuğba Yurt,0.712,0.408
Ben Bazen,Simge,0.676,0.733
CRG (feat. Dave),"Central Cee, Dave",0.771,0.904
FRANCHISE (feat. Young Thug & M.I.A.),"Travis Scott, Young Thug, M.I.A.",0.699,0.547
Mamacita (feat. Rich Homie Quan & Young Thug),"Travis Scott, Rich Homie Quan, Young Thug",0.863,0.237
Yani,Murat Dalkılıç,0.806,0.853
Love - Club Version,INNA,0.925,0.653
Ever Since U Left Me (I Went Deaf),"French Montana, Max B",0.49,0.713
Aşk Tadında,Fatma Turgut,0.528,0.607
Aşkın Beni Baştan Yazar - A.B.B.Y.,Burcu Güneş,0.781,0.462
Halef Selef,Wegh,0.605,0.237
I Adore You (feat. Daecolm),"HUGEL, Topic, Arash, Daecolm",0.787,0.31
2 Hard 4 The Radio,Drake,0.745,0.626
Ran To Atlanta (feat. Future & Molly Santana),"Drake, Future, Molly Santana",0.576,0.281
Little Birdie,Drake,0.631,0.738
National Treasures,Drake,0.707,0.314
Plot Twist,Drake,0.515,0.612
O Benim Dünyam,Ajda Pekkan,0.846,0.409
Günah Sevap,Aynur Aydın,0.909,0.503
The Hills,The Weeknd,0.564,0.137
Raindance (feat. Tems),"Dave, Tems",0.741,0.249
Temperatura,"Andor Gabriel, Jerome Sydor",0.921,0.593
Neden Olmasın?,"Skapova, melih",0.555,0.473
Yetemedim,Dedublüman,0.375,0.255
Benden Sonra,Rıza Tamer,0.522,0.561
Yaşım Çocuk,Mabel Matiz,0.617,0.644
Lovers on the Sun (feat. Sam Martin),"David Guetta, Sam Martin",0.891,0.568
Paranoid - 2009 Remaster,Black Sabbath,0.685,0.328
Goodbye (feat. Lyse) - Radio Edit,"Feder, Lyse",0.876,0.635
Kalinka,Morandi,0.723,0.597
Canto del Pilón - Original Radio Mix,"Milk & Sugar, Maria Marquez",0.805,0.546
Praise God,Kanye West,0.545,0.212
Summer Days - Ben Delay Radio Mix,"Sean Finn, Tinka",0.686,0.777
Se Thelo,Roller Sis,0.686,0.575
KICK OUT,Travis Scott,0.791,0.304
Мой мармеладный (Я не права),Katya Lel,0.601,0.761
Her Lullaby,Imagine Music,0.334,0.0583
Yüzük,Oğuzhan Koç,0.791,0.695
Dağları Deldim,Özlem Tekin,0.763,0.649
Say My Name,"David Guetta, Bebe Rexha, J Balvin",0.66,0.79
Bunu Sana Demiştim (Disco Tarantula Remix) - slowed + reverb,"Tuğçe Şenoğul, Disco Tarantula",0.513,0.243
EVIL J0RDAN,Playboi Carti,0.36,0.0599
Over The Top (feat. Drake),"Smiley, Drake",0.498,0.259
Frankenstein (feat. A$AP Rocky),"Swedish House Mafia, A$AP Rocky",0.612,0.226
Güm Güm (Serhat Karadağ Remix) (feat. Onurr),"Ayse Hatun Onal, Onurr, Serhat Karadag",0.864,0.343
House Of Balloons / Glass Table Girls,The Weeknd,0.511,0.228
Sen Varsın Diye,Yüzyüzeyken Konuşuruz,0.658,0.866
Let's Go,"Jaden Bojsen, David Guetta, Sami Brielle",0.968,0.642
"Never Recover (Lil Baby & Gunna, Drake)","Lil Baby, Gunna, Drake",0.686,0.886
The Days - NOTION Remix Slowed,"Chrystal, NOTION",0.869,0.0883
Bass da da da (Sentadão),As Tequileiras do Funk,0.754,0.854
Piu Tic Tac - Funk,DJ JEFFERSON PEREIRA,0.944,0.762
Yağmurlar,Şebnem Ferah,0.491,0.0732
Çay Elinden Öteye,"Şevval Sam, Onay Şahin",0.669,0.679
Bu Sabahların Bir Anlamı Olmalı,Vega,0.628,0.345
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": III. Presto agitato","Ludwig van Beethoven, Daniel Barenboim",0.0855,0.114
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight Sonata"": I. Adagio sostenuto","Ludwig van Beethoven, Daniel Barenboim",0.00245,0.293
İyi Kötü,Şebnem Ferah,0.622,0.244
Yol Gözümü Dağlıyor,Hayko Cepkin,0.735,0.174
The Ketchup Song (Aserejé) - Motown Club Single Edit,Las Ketchup,0.892,0.693
Aynalı Kemer,Barış Manço,0.432,0.407
Net,"Bilge Nihan, Bahadır Tatlıöz",0.818,0.607
LA MuDANZA,Bad Bunny,0.926,0.971
KARANLIK,"Yung Kafa & Kücük Efendi, Motive, Jumpa",0.72,0.291
Kara Sevda,Barış Manço,0.832,0.685
Bal Böceği,Barış Manço,0.457,0.507
Waiting for Tonight,Jennifer Lopez,0.945,0.861
Asturias (Leyenda),"Isaac Albéniz, Simon Dinnigan",0.0863,0.146
"Tchaikovsky: Valse sentimentale, Op. 51, No. 6","Pyotr Ilyich Tchaikovsky, Josef Sakonov, London Festival Orchestra",0.256,0.126
Une belle histoire,Michel Fugain & Le Big Bazar,0.578,0.691
NUEVAYoL,Bad Bunny,0.195,0.12
NEYSE,"UZI, Dardan",0.68,0.561
Ben Seni Sevduğumi,Kâzım Koyuncu,0.248,0.3
Kalbim Çukurda,"Gazapizm, Cem Adrian",0.887,0.326
Thootie (feat. Tokischa),"Ice Spice, Tokischa",0.628,0.336
Dance For Me Wallis,Abel Korzeniowski,0.357,0.16
Aşk Lazım,Gökhan Türkmen,0.726,0.791
Diskotek,Ben Fero,0.653,0.201
Headstrong,Trapt,0.896,0.534
Kiss Me Again - Nightcore Mix,Roy Bee,0.991,0.573
Destination Calabria - Radio Edit,"Alex Gaudino, Crystal Waters",0.954,0.312
They Don't Care About Us,Michael Jackson,0.905,0.731
Five More Hours,"Deorro, Chris Brown",0.883,0.499
İlle De Aşk,Mustafa Ceceli,0.881,0.706
Bad and Boujee (feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",0.666,0.168
Vurdi Vurdi Vuruldi,Davut Güloğlu,0.942,0.879
Kendine Dünya,Merve Özbey,0.721,0.642
Bunu Sana Demiştim,Tuğçe Şenoğul,0.646,0.537
Bunu Sana Demiştim (Disco Tarantula Remix),"Tuğçe Şenoğul, Disco Tarantula",0.568,0.275
Ego,Indila,0.753,0.728
Viva La Noche,Salvi,0.857,0.939
Sana Değer,Yıldız Tilbe,0.667,0.689
Ya Ben Anlatamadum,Turan Şahin,0.786,0.501
We No Speak Americano,"Yolanda Be Cool, DCup",0.691,0.456
Killshot - Slowed + Reverb,Magdalena Bay,0.6,0.379
Sevmiş Gibi,"Eftalya Yağcı, Lvbel C5",0.55,0.347
Blah Blah Blah,Armin van Buuren,0.963,0.165
Swërved It,Yeat,0.758,0.431
"All The Stars (with SZA) - From ""Black Panther: The Album""","Kendrick Lamar, SZA",0.633,0.557
Sexy Bitch (feat. Akon),"David Guetta, Akon",0.627,0.801
Yeniden,Ragga Oktay,0.892,0.308
Bu Aşk Fazla Sana - Remix,"Doruk Can, Ozan Işın, Şebnem Ferah",0.778,0.144
The Wicked Ones,"Secession Studios, Greg Dombrowski, Nathalie Bonin",0.254,0.0395
Les,Childish Gambino,0.674,0.129
Shape of My Heart,"2WEI, Schepetkov",0.515,0.0487
Took Her To The O,King Von,0.592,0.4
Moth To A Flame (with The Weeknd),"Swedish House Mafia, The Weeknd",0.659,0.105
Geçmiş Değişmez,"Deeperise, Jabbar",0.574,0.586
Ruleta,"INNA, Erik",0.675,0.817
Floor Seats,A$AP Ferg,0.733,0.681
Victory Lap,"Fred again.., Skepta, PlaqueBoyMax",0.749,0.584
Alabora,Ezhel,0.648,0.632
Give Me Everything (feat. Nayer),"Pitbull, AFROJACK, Ne-Yo, Nayer",0.939,0.53
Cartier,"Dopebwoy, Chivv, 3robi",0.783,0.629
Fetih Marşı,Arslanbek Sultanbekov,0.614,0.893
I'm an Albatraoz,"AronChupa, Little Sis Nora",0.817,0.595
Moulaga,"Heuss L'enfoiré, Jul",0.701,0.468
In The End,"Tommee Profitt, Fleurie, Jung Youth",0.671,0.102
Inndia,INNA,0.741,0.674
Çok İnsan Affettim,Wegh,0.644,0.338
Flight,Hans Zimmer,0.363,0.0521
Somebody To Love,Basstrologe,0.872,0.197
Love Tonight (David Guetta Remix Edit),"Shouse, David Guetta",0.989,0.0348
Papaoutai,Stromae,0.809,0.253
Bir Fırtına Tuttu Bizi,Cengiz Özkan,0.232,0.421
Kul,Suzan Hacigarip,0.13,0.225
Touch The Sky,"Kanye West, Lupe Fiasco",0.846,0.554
Dies Irae - Just Raw,Aloboi,0.935,0.0354
Senden Başka,Füsun Önal,0.698,0.827
good kid,Kendrick Lamar,0.831,0.41
Friesenjung,"Ski Aggu, Joost, Otto Waalkes",0.979,0.896
Can't Have Everything,Drake,0.572,0.454
Summer Sixteen,Drake,0.46,0.0542
Yoruldum,Adamlar,0.706,0.526
Iron Man - 2009 Remaster,Black Sabbath,0.828,0.515
Çıplak Vatandaş,"90 BPM, Kamufle",0.816,0.78
Bırak Kadının Olayım,Şebnem Ferah,0.652,0.443
Gir Kanıma,Harun Kolçak,0.714,0.492
Maalesef,Mansur Ark,0.796,0.964
Bir Damla Gözlerimde,Sertab Erener,0.563,0.336
Bir Derdim Var,mor ve ötesi,0.89,0.426
Şarkılar Sokaklara Ait,"UZI, Motive",0.545,0.169
You Give Love A Bad Name,Bon Jovi,0.942,0.835
Sorma,Aydilge,0.445,0.136
Afili Yalnızlık,emre aydın,0.772,0.713
Felek,Adamlar,0.499,0.463
KAYKAY,Era7capone,0.796,0.806
Por Una Cabeza,Carlos Gardel,0.262,0.33
Haberin Yok Ölüyorum,Duman,0.584,0.341
AQUAFINA,Motive,0.69,0.356
Mimosa 2000,"Furacão 2000, Nyasia",0.712,0.8
One More Hour,Tame Impala,0.398,0.32
Requiem for a Dream,Scott Benson Band,0.377,0.0956
Requiem for a Dream (Epic Orchestral Version),derani,0.488,0.141
(Bir) Fotoğrafın Rüyası,Farazi,0.67,0.325
Queen of the Damned,"Secession Studios, Greg Dombrowski, Nathalie Bonin",0.428,0.036
Be Bold and Be Brave,"Secession Studios, Greg Dombrowski",0.0658,0.0358
Experience,"Ludovico Einaudi, Daniel Hope, I Virtuosi Italiani",0.449,0.036
Acıtır gibi severek,Canozan,0.605,0.148
In the End,"2WEI, Edda Hayes",0.576,0.0728
Olsun,Pilli Bebek,0.587,0.524
MAHVET,Güneş,0.683,0.396
On the Nature of Daylight,"Max Richter, Louisa Fuller, Natalia Bonner, John Metcalfe, Philip Sheppard, Chris Worsey",0.342,0.0335
yıldızlar şahit aşkıma,Lvbel C5,0.518,0.688
I'm Good (Blue),"David Guetta, Bebe Rexha",0.965,0.304
Drunk Groove,"MARUV, Boosin",0.681,0.7
Gülün Rengi,Serdar Ortaç,0.798,0.53
Bir Çocuk Sevdim,Sezen Aksu,0.678,0.489
Dilerim Ki,Dolu Kadehi Ters Tut,0.779,0.46
gözlerindeki ay,Mavi,0.654,0.163
Hikaye Bitti Çoktan,Kayra,0.894,0.819
Sway,Michael Bublé,0.639,0.737
Dream Is Collapsing,Hans Zimmer,0.433,0.0892
poster boy,2hollis,0.959,0.912
Hikaye,Adamlar,0.646,0.705
Sarılırım Birine,Adamlar,0.709,0.33
Don Ritchie,Majorbeatz,0.667,0.484
Uykusuzluk,Rojee Beatz,0.686,0.676
Royalty,"Egzod, Maestro Chives",0.855,0.32
Kül Hece,Mabel Matiz,0.407,0.35
Ma Tnsani (Yalla Habibi),"Vanco, AYA",0.826,0.168
Addicted to You,Shakira,0.809,0.967
FESTİVAL,"Ati242, Organize",0.829,0.484
Moonlight Sonata (Epic Trailer Version),Hidden Citizens,0.551,0.159
FUNK OSCURO - Super Slowed,"h6itam, ICEDMANE, DYSMANE",0.645,0.288
Du hast kein Herz,Till Lindemann,0.859,0.713
Deutschland,Rammstein,0.895,0.237
The Trooper - 2015 Remaster,Iron Maiden,0.908,0.669
Black Betty,Ram Jam,0.907,0.681
Introduce a Little Anarchy,"Hans Zimmer, James Newton Howard",0.515,0.0478
I'm Not a Hero,"Hans Zimmer, James Newton Howard",0.289,0.0492
Like a Dog Chasing Cars,"Hans Zimmer, James Newton Howard",0.488,0.0369
Gençliğimi Geri Ver,Yüzyüzeyken Konuşuruz,0.54,0.37
"Le nozze di Figaro, K. 492, Act III Scene 10: Duettino. Sull'aria","Wolfgang Amadeus Mozart, Maria Pia Ionata, Patrizia Pace, Hungarian State Opera Orchestra, Pier Giorgio Morandi",0.0485,0.152
Zalım,Ceylan Ertem,0.881,0.872
Tutun Sen Bana,Yüzyüzeyken Konuşuruz,0.502,0.746
JESUS - SLOWED,Ogryzek,0.888,0.0379
Mevsim Sonbahar,Metro,0.375,0.0953
Laisse-moi t'aimer,Laurie Darmon,0.736,0.766
Durmaz Akar,Yüzyüzeyken Konuşuruz,0.457,0.723
pussypodium - Slowed,"akiaura, LONOWN",0.904,0.227
I WANNA BE YOUR SLAVE,Måneskin,0.608,0.958
Scream & Shout,"will.i.am, Britney Spears",0.685,0.501
ECOS DO ABISMO - Ultra Slowed,"Flame Runner, ZIMXN",0.714,0.364
Paint It Black,Sebastian Böhm,0.845,0.0787
Interlinked - Ultra Slowed,"Lonely Lies, GOLDKID$",0.788,0.365
NO FEAR!,"ANDROMEDA, KVRXD",0.956,0.203
Demise of a Nation,Secession Studios,0.486,0.0367
Interlinked - Slowed,"Lonely Lies, GOLDKID$",0.826,0.249
nightmares - Slowed,skyfall beats,0.608,0.0776
Poşet,Serdar Ortaç,0.889,0.645
Leave Me Alone,NF,0.741,0.46
Survivor,"2WEI, Edda Hayes",0.542,0.0969
The Imperial March (Darth Vader's Theme),"John Williams, London Symphony Orchestra",0.379,0.284
Immigrant Song - Remaster,Led Zeppelin,0.932,0.619
Dernière danse,Indila,0.449,0.327
Zalim,Tolga Ayaz,0.458,0.583
Fils de joie,Stromae,0.638,0.882
Yediverenim,Funda Arar,0.76,0.616
Can Dostum,Emir Can İğrek,0.517,0.384
Çayır Çimen Geze Geze,Kıraç,0.784,0.912
FUNK SIGILO - ULTRA SLOWED,h6itam,0.935,0.649
WAKE UP - SLOWED,SAPFIR MADE IT,0.883,0.297
Bağışla,Funda Arar,0.873,0.898
Aşk Yok Olmaktır,Yıldız Tilbe,0.491,0.756
Battı Gemim,Yüzyüzeyken Konuşuruz,0.621,0.412
Cornfield Chase,Hans Zimmer,0.226,0.048
Can You Hear The Music,Ludwig Göransson,0.435,0.0643
Dust,Hans Zimmer,0.123,0.0298
No Time for Caution,Hans Zimmer,0.224,0.0388
JUMPORIUM - SLOWED,PINKY SMASH,0.988,0.198
DYSTOPIA - SLOWED,"DudePlaya, N!GHTvisiøn",0.986,0.221
LOST ASTRONAUT - SLOWED,PINKY SMASH,0.746,0.0644
DEATH TRIAL - Slowed,ICHIRO,0.74,0.107
Toroslu Yollar,Pikapta Raks,0.774,0.48
Heads Will Roll,Yeah Yeah Yeahs,0.903,0.791
Amazing,INNA,0.889,0.392
Durum Leyla,"Ayşegül Aldinç, Gökhan Türkmen",0.601,0.65
Cımbız,Serdar Ortaç,0.93,0.802
FUNK INFERNAL (SLOWED),"DYGO, Mxng0",0.917,0.117
Günün Birinde,Göksel,0.806,0.699
Flying - Remastered,Anathema,0.374,0.0451
Gecenin Içine Gir,"UZI, Mavi",0.705,0.165
isteyerek sevişmek,Motive,0.698,0.219
Paro,Nej,0.605,0.419
h4rdjump_1988 - Super Slowed,$werve,0.992,0.216
Skins - Ultra Slowed + Reverb,"KREZUS, Surreal_dvd",0.853,0.343
Don't Stop The Music,Rihanna,0.669,0.547
Why Do We Fall?,Hans Zimmer,0.419,0.0349
Yüce Aşk,Motive,0.689,0.326
DOMDOM,"Era7capone, Organize",0.609,0.525
Ara Beni Lütfen,Kenan Doğulu,0.684,0.63
Aşk Ne Demek,Yalın,0.815,0.641
не расслабляйся,Skryptonite,0.584,0.0569
BANA GAYRET,Motive,0.452,0.36
İkimizden Biri,Fatma Turgut,0.754,0.607
